"partnumber","aviallaltuser","aviallaltuser - Price","aviallaltuser - Stock"
"17341","aviallaltuser",24.26,793
"30850","aviallaltuser",168.49,56
"30863","aviallaltuser",138.13,8
"30864","aviallaltuser",15.95,22
"30865","aviallaltuser",24.66,54
"33874","aviallaltuser",17.48,81
"39490","aviallaltuser",47.78,23
"41642","aviallaltuser",55.07,3
"44060","aviallaltuser",17.59,43
"44426","aviallaltuser",44.73,22
"47080","aviallaltuser",1359.71,40
"47109","aviallaltuser",1308.77,23
"139968","aviallaltuser",157.69,72
"154866","aviallaltuser",1575.11,20
"400107","aviallaltuser",1176.98,45
"6702858","aviallaltuser",1862.9,13
"6705924","aviallaltuser",50.58,80
"6706277","aviallaltuser",35.92,3
"6707250","aviallaltuser",0.35,2
"6708521","aviallaltuser",50.58,134
"6709751","aviallaltuser",2.99,66
"6709972","aviallaltuser",141.75,126
"6710715","aviallaltuser",81.08,61
"6710820","aviallaltuser",44.89,51
"6712992","aviallaltuser",18.15,35
"6713762","aviallaltuser",239.03,37
"6714241","aviallaltuser",392.7,12
"6714768","aviallaltuser",14.86,1139
"6714804","aviallaltuser",30.68,522
"6714805","aviallaltuser",26.32,570
"6714807","aviallaltuser",14.42,859
"6714811","aviallaltuser",19.98,575
"6714812","aviallaltuser",21.42,648
"6714814","aviallaltuser",15.97,75
"6716338","aviallaltuser",73.67,53
"6716825","aviallaltuser",60.9,45
"6716838","aviallaltuser",149.96,91
"6716895","aviallaltuser",19.01,48
"6717147","aviallaltuser",25.4,1336
"6717196","aviallaltuser",41.58,324
"6718476","aviallaltuser",18.84,65
"6718609","aviallaltuser",2.54,199
"6718937","aviallaltuser",20.58,15
"6719546","aviallaltuser",10.23,73
"6720093","aviallaltuser",1.2,12610
"6720634","aviallaltuser",28.56,121
"6720939","aviallaltuser",4.06,94
"6720944","aviallaltuser",6.63,215
"6720945","aviallaltuser",7.1,209
"6720969","aviallaltuser",2288.25,15
"6721451","aviallaltuser",200.48,48
"6721454","aviallaltuser",125.46,41
"6722207","aviallaltuser",4.7,289
"6722982","aviallaltuser",86.1,182
"6723059","aviallaltuser",80.59,52
"6723144","aviallaltuser",441,35
"6723146","aviallaltuser",320.49,11
"6723179","aviallaltuser",3307.5,9
"6723227","aviallaltuser",89.25,71
"6723248","aviallaltuser",75.89,62
"6723249","aviallaltuser",46.2,30
"6724759","aviallaltuser",2944.6,3
"6728286","aviallaltuser",12.08,17
"6730786","aviallaltuser",122.33,226
"6730833","aviallaltuser",51.98,9
"6730906","aviallaltuser",1.81,10647
"6730907","aviallaltuser",1.26,42034
"6731108","aviallaltuser",1.31,22145
"6731183","aviallaltuser",18189.34,8
"6735685","aviallaltuser",14.81,33
"6735692","aviallaltuser",48.28,61
"6736213","aviallaltuser",186.78,123
"6736913","aviallaltuser",717.36,32
"6737017","aviallaltuser",55.42,119
"6737186","aviallaltuser",1.47,5570
"6738053","aviallaltuser",291.9,42
"6738077","aviallaltuser",19.11,151
"6738108","aviallaltuser",18.64,1122
"6738112","aviallaltuser",148.05,3
"6739373","aviallaltuser",21.53,2404
"6739629","aviallaltuser",1132.56,19
"6739827","aviallaltuser",13.13,311
"6739835","aviallaltuser",79.33,27
"6739861","aviallaltuser",74.11,17
"6739865","aviallaltuser",19.84,1818
"6739977","aviallaltuser",16.28,2
"6746974","aviallaltuser",21.45,2986
"6746975","aviallaltuser",27.53,1695
"6747015","aviallaltuser",20.21,20
"6780208","aviallaltuser",4.87,89
"6780869","aviallaltuser",26.51,943
"6780888","aviallaltuser",1176,116
"6781025","aviallaltuser",177.45,13
"6781679","aviallaltuser",3826.68,4
"6782273","aviallaltuser",1155.61,52
"6782914","aviallaltuser",756.67,10
"6783397","aviallaltuser",4.88,8904
"6783679","aviallaltuser",218.4,10
"6783909","aviallaltuser",86.94,41
"6784006","aviallaltuser",49.13,213
"6784014","aviallaltuser",55.55,19
"6784017","aviallaltuser",111.3,17
"6784102","aviallaltuser",109.2,49
"6784106","aviallaltuser",126.33,37
"6784182","aviallaltuser",47.01,57
"6784305","aviallaltuser",2.5,14015
"6784451","aviallaltuser",159.52,17
"6784531","aviallaltuser",10.61,2303
"6784633","aviallaltuser",16,660
"6784642","aviallaltuser",32.34,36
"6784643","aviallaltuser",168,133
"6784662","aviallaltuser",54.63,723
"6784685","aviallaltuser",1374.8,10
"6784708","aviallaltuser",34.97,65
"6784729","aviallaltuser",181.65,22
"6784766","aviallaltuser",5.18,133
"6784779","aviallaltuser",97.74,46
"6784956","aviallaltuser",14.39,21385
"6785053","aviallaltuser",439.48,13
"6785054","aviallaltuser",20.37,107
"6785084","aviallaltuser",1057.35,11
"6785647","aviallaltuser",1660.98,4
"6785758","aviallaltuser",612.13,35
"6786247","aviallaltuser",577.71,77
"6786483","aviallaltuser",245.7,2
"6786766","aviallaltuser",109.71,661
"6787465","aviallaltuser",62.74,68
"6787466","aviallaltuser",59.51,22
"6787470","aviallaltuser",1217.36,94
"6787479","aviallaltuser",420.34,15
"6787480","aviallaltuser",490.78,16
"6787882","aviallaltuser",383.25,30
"6788286","aviallaltuser",168,323
"6788547","aviallaltuser",64.1,6
"6788575","aviallaltuser",1173,14
"6788577","aviallaltuser",5092.82,32
"6788578","aviallaltuser",2128.04,23
"6788615","aviallaltuser",174.3,30
"6788616","aviallaltuser",233.63,22
"6789332","aviallaltuser",708.75,21
"6789503","aviallaltuser",1890,14
"6789695","aviallaltuser",4032,9
"6789772","aviallaltuser",336,28
"6789784","aviallaltuser",59.45,70
"6789798","aviallaltuser",58.22,9
"6808392","aviallaltuser",118.33,157
"6826696","aviallaltuser",515,46
"6828074","aviallaltuser",14.74,28
"6843149","aviallaltuser",580,39
"6850746","aviallaltuser",445.5,132
"23007319","aviallaltuser",7224,22
"23007322","aviallaltuser",7271.25,17
"23007324","aviallaltuser",13401.14,13
"23007406","aviallaltuser",421.99,26
"23007477","aviallaltuser",820.22,7
"23007479","aviallaltuser",197.19,32
"23007589","aviallaltuser",805,3
"23007827","aviallaltuser",4819.1,14
"23007979","aviallaltuser",4387.23,1
"23007981","aviallaltuser",5159.59,1
"23008001","aviallaltuser",18.17,751
"23008002","aviallaltuser",22.28,108
"23008017","aviallaltuser",31.18,89
"23008018","aviallaltuser",126.87,1
"23008030","aviallaltuser",910.51,106
"23008169","aviallaltuser",20776.35,27
"23008185","aviallaltuser",39.9,386
"23008187","aviallaltuser",23.95,1508
"23008246","aviallaltuser",27618.08,7
"23008555","aviallaltuser",1128.59,61
"23008579","aviallaltuser",25323.09,15
"23008863","aviallaltuser",37180.18,14
"23008864","aviallaltuser",37500,2
"23008865","aviallaltuser",36478.14,9
"23008866","aviallaltuser",40500,1
"23008867","aviallaltuser",33387.84,11
"23008868","aviallaltuser",32000,5
"23008870","aviallaltuser",35449.06,4
"23008871","aviallaltuser",33000,2
"23008872","aviallaltuser",33228.72,8
"23008873","aviallaltuser",35665.17,6
"23009234","aviallaltuser",1165.5,30
"23009263","aviallaltuser",62.74,29
"23009312","aviallaltuser",6.96,199
