"productcode","productprice","stockstatus","addtocartbtn_replacement_text"
"329",816.3,0,"Please send RFQ to sales@145.aero for lead time"
"1151",27.89,472,""
"2612",15.58,0,"Please send RFQ to sales@145.aero for lead time"
"10025",36.66,4,""
"10032",93.25,0,"Please send RFQ to sales@145.aero for lead time"
"10114",2068.81,0,"Please send RFQ to sales@145.aero for lead time"
"10205",3536.13,0,"Please send RFQ to sales@145.aero for lead time"
"10610",158.98,58,""
"14143",156.66,49,""
"16511",75.63,86,""
"16516",452.75,120,""
"16630",79.85,1,""
"16651",23.49,115,""
"20009",10.01,12,""
"21434",19.74,32,""
"21453",52.14,0,"Please send RFQ to sales@145.aero for lead time"
"21463",17.01,834,""
"21464",48.88,0,"Please send RFQ to sales@145.aero for lead time"
"27105",3.17,172,""
"30558",20.84,82,""
"34026",42.69,0,"Please send RFQ to sales@145.aero for lead time"
"37127",19.19,8,""
"37229",9.32,57,""
"37230",8.64,24,""
"37685",18.76,0,"Please send RFQ to sales@145.aero for lead time"
"39893",95.97,75,""
"39901",83.98,35,""
"50000",1082.4,0,"Please send RFQ to sales@145.aero for lead time"
"51001",9.41,0,"Please send RFQ to sales@145.aero for lead time"
"51002",14.3,0,"Please send RFQ to sales@145.aero for lead time"
"51005",26.97,0,"Please send RFQ to sales@145.aero for lead time"
"51007",31.4,0,"Please send RFQ to sales@145.aero for lead time"
"51008",72.5,0,"Please send RFQ to sales@145.aero for lead time"
"51084",51.44,0,"Please send RFQ to sales@145.aero for lead time"
"51102",51.19,0,"Please send RFQ to sales@145.aero for lead time"
"51144",13.05,0,"Please send RFQ to sales@145.aero for lead time"
"51147",20.02,0,"Please send RFQ to sales@145.aero for lead time"
"51246",209.24,0,"Please send RFQ to sales@145.aero for lead time"
"51531",22.09,433,""
"51572",131.66,14,""
"51580",91.85,30,""
"51605",41.74,0,"Please send RFQ to sales@145.aero for lead time"
"51606",62.66,30,""
"51609",12.49,218,""
"55441",204.56,20,""
"56931",49.01,190,""
"59231",21.06,141,""
"61002",25.55,36,""
"62015",21.35,47,""
"62040",54.64,74,""
"64031",57.33,114,""
"70214",22.27,0,"Please send RFQ to sales@145.aero for lead time"
"70814",20.23,0,"Please send RFQ to sales@145.aero for lead time"
"76732",21.4,101,""
"76759",21.3,0,"Please send RFQ to sales@145.aero for lead time"
"76764",30.53,0,"Please send RFQ to sales@145.aero for lead time"
"77124",31.88,109,""
"77164",52.77,238,""
"80209",13.03,85,""
"84004",125.09,29,""
"84005",527.59,4,""
"100188",426.71,0,"Please send RFQ to sales@145.aero for lead time"
"100190",1735.94,0,"Please send RFQ to sales@145.aero for lead time"
"100437",341.06,0,"Please send RFQ to sales@145.aero for lead time"
"100438",1593.24,0,"Please send RFQ to sales@145.aero for lead time"
"101301",399.3,62,""
"195899",80.09,7,""
"220538",2.86,625,""
"220540",1.47,3824,""
"220544",1.47,19210,""
"220550",1.41,14235,""
"490040",10.4,0,"Please send RFQ to sales@145.aero for lead time"
"490057",11.03,1412,""
"490194",16.56,0,"Please send RFQ to sales@145.aero for lead time"
"1329467",48.44,198,""
"1329837",17.41,1009,""
"1330583",17.59,215,""
"1432371",0,0,"Please send RFQ to sales@145.aero for lead time"
"1597418",33.56,197,""
"1786073",27.66,33,""
"1999141",32.92,0,"Please send RFQ to sales@145.aero for lead time"
"1999559",31.11,0,"Please send RFQ to sales@145.aero for lead time"
"1999560",54.2,0,"Please send RFQ to sales@145.aero for lead time"
"4016056",40.06,0,"Please send RFQ to sales@145.aero for lead time"
"4045284",141.75,0,"Please send RFQ to sales@145.aero for lead time"
"4110894",36.67,49,""
"70090-04",222.75,0,"Please send RFQ to sales@145.aero for lead time"
"70104-04",222.01,40,""
"70104-05",1121.13,0,"Please send RFQ to sales@145.aero for lead time"
"70104-09",11061.44,0,"Please send RFQ to sales@145.aero for lead time"
"70105-04",104.88,0,"Please send RFQ to sales@145.aero for lead time"
"70200-13",5.79,338,""
"70201-13",5.69,467,""
"70206-18",7.39,0,"Please send RFQ to sales@145.aero for lead time"
"70302-12",29.14,56,""
"70305-02",9.18,0,"Please send RFQ to sales@145.aero for lead time"
"70305-12",29.14,249,""
"70307-12",29.14,10,""
"804136730",12.85,0,"Please send RFQ to sales@145.aero for lead time"
