"partNumber","description","category","subCategory","manufacturer","stock","imgUrl","weight","vendor","price","unitMeasure","url","createdAt","updatedAt"
"37931","Momentive™ Sealant RTV106 8 oz Red, 2.8 oz tube","Aircraft Parts","ENGINES","Momentive",72,"https://www.aviall.com/content-images/RTV106-2-80Z=02_280.JPG",0.25,"aviallaltuser",125,"each","https://shop.boeing.com/aviation-supply/p/37931=T5","{\"$date\":\"2023-03-16T15:37:31.865Z\"}","{\"$date\":\"2024-02-25T17:29:30.437Z\"}"
"MS21044N4","NUT: SELF-LKG,ST, NYLON INSERT","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",1165,"https://www.aviall.com/content-images/MS21044N4=64_280.JPG",0.01,"aviallaltuser",0.5,"each","https://shop.boeing.com/aviation-supply/p/MS21044N4=64","{\"$date\":\"2023-03-23T22:07:41.800Z\"}","{\"$date\":\"2024-02-25T15:41:55.468Z\"}"
"MS21044N5","NUT: SELF-LKG,ST, NYLON INSERT","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",260,"https://www.aviall.com/content-images/MS21044N5=64_280.JPG",0.02,"aviallaltuser",2.09,"each","https://shop.boeing.com/aviation-supply/p/MS21044N5=64","{\"$date\":\"2023-03-23T22:51:09.922Z\"}","{\"$date\":\"2024-02-25T16:02:19.209Z\"}"
"MS21044C3","NUT: SELF-LKG,CRES, NYLON INSERT","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",949,null,0.01,"aviallaltuser",1.17,"each","https://shop.boeing.com/aviation-supply/p/MS21044C3=64","{\"$date\":\"2023-03-24T00:46:02.878Z\"}","{\"$date\":\"2024-02-25T15:56:15.775Z\"}"
"MS21043-04","NUT: SELF-LKG,CRES,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",47,null,0.01,"aviallaltuser",1.01,"each","https://shop.boeing.com/aviation-supply/p/MS21043-04=64","{\"$date\":\"2023-03-24T00:54:58.513Z\"}","{\"$date\":\"2024-02-25T15:55:32.966Z\"}"
"MS21043-5","NUT: SELF-LKG,CRES,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",2808,"https://www.aviall.com/content-images/MS21043-5=64_280.JPG",0.01,"aviallaltuser",9.1,"each","https://shop.boeing.com/aviation-supply/p/MS21043-5=64","{\"$date\":\"2023-03-24T00:59:00.248Z\"}","{\"$date\":\"2024-02-25T15:36:47.839Z\"}"
"MS17825-3","NUT: CASTLE,SELF-LKG,ST, NYLON INSERT","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",235,null,0.01,"aviallaltuser",2.91,"each","https://shop.boeing.com/aviation-supply/p/MS17825-3=64","{\"$date\":\"2023-03-24T01:07:26.778Z\"}","{\"$date\":\"2024-02-25T16:31:39.213Z\"}"
"MS21043-3","NUT: SELF-LKG,CRES,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",551,"https://www.aviall.com/content-images/MS21043-3=64_280.JPG",0.01,"aviallaltuser",3.21,"each","https://shop.boeing.com/aviation-supply/p/MS21043-3=R4","{\"$date\":\"2023-03-24T03:06:46.612Z\"}","{\"$date\":\"2024-02-25T17:32:04.063Z\"}"
"AN121503","NUT: HEX HD, ST,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",0,"https://www.aviall.com/content-images/AN121503=T5_280.JPG",0.01,"aviallaltuser",null,null,"https://shop.boeing.com/aviation-supply/p/AN121503=T5","{\"$date\":\"2023-03-24T12:55:11.454Z\"}","{\"$date\":\"2024-02-25T16:34:07.268Z\"}"
"MS51957-41","SCREW: PAN HD,MACHINE,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",308,null,0.01,"aviallaltuser",0.75,"each","https://shop.boeing.com/aviation-supply/p/MS51957-41=R4","{\"$date\":\"2023-03-24T17:42:07.255Z\"}","{\"$date\":\"2024-02-25T18:44:45.362Z\"}"
