possibleOriginalPartnumber;productcode;productname;productprice;addtocartbtn_replacement_text;productdescriptionshort;stockstatus;productweight;category;subCategory;url
728, 728;728;728;0;Please send RFQ to sales@145.aero for lead time;STRAP, NO LONGER AVAILABLE;0;0.5;Aircraft Parts;, STRAP,;https://shop.boeing.com/aviation-supply/p/728=EA
123-4, 123-4, 1234;1234;1234;0;Please send RFQ to sales@145.aero for lead time;WIRE: 3/4IN FLT,BONDING, USE 234=7S;0;0.2;Aircraft Parts, BIT FOR PHILLIPS SCREW;, CLAMP, BIT FOR PHILLIPS SCREW;https://shop.boeing.com/aviation-supply/p/123-4=0Y
2088, 2088, 2088;2088;2088;0;Please send RFQ to sales@145.aero for lead time;NUT,;0;0.5;Aircraft Parts;, NUT,, ;https://shop.boeing.com/aviation-supply/p/2088=28
2441, 2441, 2441;2441;2441;4.490;;Continental™ 2441 Plain Nut, 3/8-24, UNF, Hexagonal Nut, Ste;28;0.5;Aircraft Parts, Misc;, Continental™ 2441 Plain Nut, 3/8-24, UNF, Hexagonal Nut, Steel, NUT-PLAIN HEX.38-;https://www.airpartsco.com/airparts_homepage/lara_page.php?lara&result=2441&op=part&po=null&page=1
5606, 5606, 5606, 5606;5606;5606;0;Please send RFQ to sales@145.aero for lead time;TOOL: COMPRESSION,BATTERY-POWERED, NICOPRESS SWAGING;0;20;Aircraft Parts, Misc;, 5606 PEARL ULTRA SUEDE, TOOL, 5606 PEARL ULTRA SUEDE;https://shop.boeing.com/aviation-supply/p/5606=8T
17341, 17341;17341;17341;24.260;;DOWEL: .129 DIA X .219,;714;0.5;Aircraft Parts;, DOWEL;https://shop.boeing.com/aviation-supply/p/17341=T5
212-12, 212-12, 212-12, 212-12, 21212, 212-12, 212-12;21212;21212;0;Please send RFQ to sales@145.aero for lead time;RECEPTACLE:,;0;0.5;Aircraft Parts, RECEPTACLE, RECEPTACLE,PLAIN,CAD BRONZE, Studs, Misc, Quarter Turn Fasteners;, RECEPTACLE, RECEPTACLE, , Turnlock Fastener Receptacle, CONNECTOR, SEE SK212-12, , ;https://www.boeingdistribution.com/product/RECEPTACLE/212-12/212-12
;26971;26971;401.560;;CONTROL,COWL FLAP,;0;0;Airframe - Misc;CONTROL,COWL FLAP,, TUBE;https://shop.boeing.com/aviation-supply/p/MC580-703-024=2M
;26972;26972;357.600;;CONTROL,COWL FLAP,;0;0;Airframe - Misc;CONTROL,COWL FLAP,, TUBE;https://shop.boeing.com/aviation-supply/p/MC580-703-025=2M
;26973;26973;410.510;;CONTROL,COWL FLAP,;0;0;Airframe - Misc;CONTROL,COWL FLAP,;https://shop.boeing.com/aviation-supply/p/MC580-703-026=2M
;26974;26974;242.310;;CONTROL,COWL FLAP,;0;0;Airframe - Misc;CONTROL,COWL FLAP,;https://shop.boeing.com/aviation-supply/p/MC580-703-027=2M
2700-1;27001;27001;11.560;;STUD: 1/4 TURN,SLOT,ST,2PK,;0;0.5;Aircraft Parts;STUD;https://shop.boeing.com/aviation-supply/p/2700-1=28
30215, 30215, 30215, 30215;30215;30215;42.710;;OMISEAL:,;20;0.5;Aircraft Parts, OMISEAL, Misc;, OMISEAL, OMISEAL, REPLACED;https://shop.boeing.com/aviation-supply/p/30215=EA
30850, 30850;30850;30850;168.490;;PISTON:,;58;0.5;Aircraft Parts;, PISTON;https://shop.boeing.com/aviation-supply/p/30850=T5
30863, 30863;30863;30863;138.130;;RING: RETAINING,ST, GEAR,SPUR MAIN IDLER;12;0.5;Aircraft Parts;, RING;https://shop.boeing.com/aviation-supply/p/30863=T5
30-864, 30-864, 30-864, 30864;30864;30864;100.950;;WASHER:,;5;0.5;Aircraft Parts, FLOAT ASSEMBLY, Misc;, WASHER, Fuel System Components, FLOAT ASSY SM MA;https://www.airpartsco.com/airparts_homepage/lara_page.php?lara&result=30864&op=part&po=null&page=1
30865, 30865, 30865, 30865, 30865;30865;30865;0;Please send RFQ to sales@145.aero for lead time;GASKET:,;0;0.5;Aircraft Parts, Filters (PTI), Aircraft & Engine Parts, Misc;", GASKET, GASKET, Filtration, GASKET:;";https://shop.boeing.com/aviation-supply/p/30865=M1
33874, 33874;33874;33874;17.480;;PIN:,;142;0.5;Aircraft Parts;, PIN;https://shop.boeing.com/aviation-supply/p/33874=T5
39490, 39490;39490;39490;47.780;;SPRING:,;26;0.5;Aircraft Parts;, SPRING;https://shop.boeing.com/aviation-supply/p/39490=T5
41642, 41642;41642;41642;55.070;;BUSHING -OIL PUMP IDLER,;10;0.5;Aircraft Parts;, BUSHING -OIL PUMP IDLER,;https://shop.boeing.com/aviation-supply/p/41642=T5
4236-7, 4236-7, 4236-7;42367;42367;0;Please send RFQ to sales@145.aero for lead time;Wencor West® Electric Strike Assembly - Contractually Restricted 4236-;0;1;Aircraft Parts, ELECTRIC;, ELECTRIC, STRIKE;https://shop.boeing.com/aviation-supply/p/4236-7=EA
44060, 44060, 44060;44060;44060;17.590;;STUD:,;0;0.5;Aircraft Parts, Hardware;, STUD, , SPOOL AND SLEEVE SUBASSY;https://shop.boeing.com/aviation-supply/p/44060=T5
44426, 44426;44426;44426;44.730;;DOWEL: ST, .250X.625 LG;22;0.5;Aircraft Parts;, DOWEL;https://shop.boeing.com/aviation-supply/p/44426=T5
47073, 47073, 47073;47073;47073;783.480;;METR SET S/O,;17;0.5;Aircraft Parts, Misc;"ENGINES, Delavan® 47073 Nozzle Tip, METR SET S/O";https://shop.boeing.com/aviation-supply/p/47073=64
47080, 47080, 47080;47080;47080;1359.710;;PISTON S/O,;20;0.5;Aircraft Parts, Misc;"ENGINES, Delavan® 47080 Piston Sleeve Assembly, PISTON S/O";https://shop.boeing.com/aviation-supply/p/47080=64
47089, 47089, 47089;47089;47089;1171.490;;SHROUD: S/O,;8;0.5;Aircraft Parts, Misc;", Delavan® 47089 Nozzle Case, SHROUD: S/O";https://shop.boeing.com/aviation-supply/p/47089=59
47102, 47102, 47102;47102;47102;1139.620;;BODY S/O,;5;0.5;Aircraft Parts, Misc;, Delavan® 47102 Fuel Nozzle Body, RIVET SET SQUEEZER FLUS;https://shop.boeing.com/aviation-supply/p/47102=59
47105, 47105, 47105;47105;47105;979.520;;M S/O,;0;0.5;Aircraft Parts, Misc;", METERING SET,, M S/O;";https://shop.boeing.com/aviation-supply/p/47105=MN
