productcode;productprice;stock;
329;0;0;
1151;27.89;1472;
2612;15.58;0;
10025;36.66;4;
10032;93.25;0;
10114;2068.81;0;
10205;3536.13;0;
10610;158.98;54;
14143;156.66;20;
16511;77.69;85;
16516;465.01;90;
16630;83.84;1;
16651;24.13;103;
20009;10.01;12;
21434;19.74;32;
21453;52.14;0;
21463;17.01;814;
21464;48.88;0;
27105;3.17;172;
30558;20.84;82;
34026;42.69;0;
37127;19.19;6;
37229;9.32;55;
37230;8.64;22;
37685;18.76;0;
39893;95.97;71;
39901;83.98;34;
50000;0;0;
50003;0;0;
51001;9.41;280;
51002;14.3;441;
51005;26.97;54;
51007;31.4;259;
51008;72.5;63;
51084;51.44;47;
51102;51.19;34;
51144;13.05;108;
51147;20.02;134;
51246;209.24;0;
51531;22.09;432;
51572;131.66;14;
51580;91.85;30;
51605;41.74;0;
51606;62.66;30;
51609;12.49;218;
55441;204.56;20;
56931;49.01;187;
59231;21.06;140;
61002;25.55;36;
62015;21.35;41;
62040;54.64;67;
64031;57.33;110;
70214;22.27;0;
70814;20.23;0;
76732;21.4;100;
76759;21.3;0;
76764;30.53;0;
77124;31.88;105;
77164;52.77;225;
80209;13.03;85;
84004;125.09;29;
84005;527.59;3;
100188;426.71;0;
100190;1735.94;0;
100437;341.06;0;
100438;1593.24;0;
101301;399.3;62;
195899;80.09;7;
220538;2.86;465;
220540;1.47;654;
220544;1.47;18710;
220550;1.41;13339;
490040;10.4;0;
490057;11.03;1412;
490194;16.56;0;
1329467;48.44;192;
1329837;17.41;1000;
1330583;17.59;214;
1432371;0;0;
1597418;33.56;192;
1786073;27.66;31;
1999141;32.92;0;
1999559;31.11;0;
1999560;54.2;0;
4016056;40.06;0;
4045284;141.75;0;
4110894;36.67;43;
70090-04;222.75;0;
70104-04;222.01;40;
70104-05;1121.13;0;
70104-09;11061.44;0;
70105-04;104.88;0;
70200-13;5.79;544;
70201-13;5.69;467;
70206-18;7.39;0;
70302-12;29.14;51;
70305-02;9.18;0;
70305-12;29.14;234;
70307-12;29.14;0;
804136730;12.85;0;
804137330;12.31;127;
002055;30.41;224;
002056;30.41;283;
002057;25.34;382;
002060;30.41;120;
002061;30.75;188;
002062;30.41;17;
002078;55.61;36;
002081;35.38;319;
002082;24.46;12;
002138;886.25;0;
002318;660.69;0;
007070;355.49;0;
007071;1537.47;0;
008431;32.74;121;
009425;209.1;0;
009426;171.77;0;
009660;103.71;0;
C-111PT;231.1;55;
PR3500-55GL;0;0;
PR3500-5GL;498.59;0;
PR3500GL;122.78;0;
0LUBE884-2;13.83;1762;
10210-1LB;150.01;0;
10P4-2QTKT;104.05;0;
1151T;26.71;0;
1/16J;0;0;
11MS140Z;31.41;1894;
11MS35LB;937.14;61;
14250-10Z;8.96;0;
184200GRAM;276.93;95;
1B151L;130.95;92;
1MS1-75LB;131.89;143;
1SAE15W40-1GL;36.34;0;
1SAE15W40-1QT;6.49;0;
1SAE15W40-5GL;154.69;0;
20W50ARPK;175.45;0;
22CF35LB;1007.57;258;
22CF6-5LB;186.05;453;
22CFCTG;30.64;536;
22MS1-75LB;106.19;0;
22MS35LB;0;0;
22MSCTG;71.78;0;
240AB20Z;350.68;31;
240AC20Z;350.65;319;
240AC80Z;1179.36;0;
240AZ20Z;340.44;52;
240AZ80Z;1264;20;
25006AEJR;491.2;26;
25006AESY;136.51;26;
25012AESY;1003.35;9;
25020AEJR;240.88;1;
25026CPPL;747.83;7;
25034AESY;1081.6;17;
25052AECP;166.9;151;
250AC20Z;350.68;22;
250AD80Z;1179.5;0;
25113ATJR;80.81;238;
25113ATPL;1455.66;16;
26020-1GL;138.07;10;
27002AEDR;14955;1;
27014AEDR;1152.67;230;
27014AEPL;200.81;182;
27019AEPL;427.06;46;
27029AECD;21.15;233;
27030AEPL;752.91;117;
27056APPL;724.71;1;
27059APCS1-2PT;76.51;126;
27059APPL;767.81;8;
27-35LB;723.7;39;
27-6-5LB;160.35;0;
27CTG;25.81;421;
283AD1-1LB;2026.05;6;
283AD20Z;340.41;0;
283AD80Z;1144.93;7;
308CA1GL;73.92;214;
308CA55GL;2851.42;0;
308CA5GL;341.84;53;
3/16J;0;0;
329-1QT;205.1;0;
363-1GL;73.55;488;
363-55GL;2544.07;0;
363-5GL;288.8;154;
363QT;40.9;456;
375NC5;452.76;0;
38GEAR600-68;78.8;4;
43-35LB;1564.11;0;
43-6-5LB;330.16;83;
44-1-75LB;95.86;70;
481-55GL;2087.71;23;
481-5GL;230.4;78;
482-5GL;551.65;78;
483-5GL;446.19;17;
490057-20Z;30.1;0;
49-35LB;677;51;
4UK07;13.38;0;
500-5GL;540.29;40;
515K011QTKT;103.13;131;
515X349GLKIT;596.89;82;
521X11387;9;57;
528X310QTKT;188.71;57;
555-55GL;5776.1;9;
555-5GL;574.36;398;
560-55GL;0;0;
581-55GL;3381.2;3;
586M5GL;330.99;72;
630AA1-750Z;14.76;15;
634-1GL;139.45;0;
64-35LB;1025.51;0;
64-6-5LB;220.38;0;
70104L40Z;0;0;
70106-1GL;222.01;10;
70307L;13.04;0;
710XX006;23.54;50;
710XX052;4.71;737;
710XX301;30.85;61;
808-1QT;26.84;371;
808-55GL;4958.36;10;
808-5GL;499.72;7;
81MS1-75LB;289.1;411;
825-1-75LB;115.11;175;
855-5GL;2222.71;0;
885-1GL;170.63;218;
885-55GL;8748.52;0;
885-5GL;816.11;44;
889-55GL;4375.89;0;
889-5GL;394.26;25;
899-1QT;29.67;1708;
899-55GL;6017.85;4;
8B6AQT;307.51;37;
90-006-2RF1LB;162.01;108;
950-55GL;2888.07;30;
950-5GL;363.44;80;
9AQT;186.51;0;
AER0KR0IL100Z;22.21;1614;
AER0KR0IL130Z;26.56;1900;
ALBCKIT;37.26;60;
ALHFTG;433.29;26;
ALSEAL75A1QTKIT;378.04;2;
AS9363016;317.93;0;
BATC0X8401-140Z;95.16;208;
BRAYC0815Z20Z;627.67;1;
BRAYC0TE236PT;71.74;4;
BRAYC0TE646QT;0;0;
C105-10-0Z;21.13;0;
C201-1-75LB;3455.92;90;
CC322275T;8571.39;0;
CC322330T;10285.66;0;
CC322S;42.16;0;
CM0110845GA;99.64;105;
CM0110933GA;168.58;12;
CM0120677QT;82.16;54;
CM0570566GA;348.92;38;
CM0578520GA;399.26;0;
CM0840081GA;438.21;32;
CM0981520QT;154.06;22;
CS1900PT;182.73;85;
CS1900QT;337.35;0;
CS2415B2PT;198.2;29;
CS3100T2CL2PT;247.2;0;
CS3201A12BLKPT;261.73;0;
CS3201B12PT;276.28;13;
CS3201B12QTBLK;465.3;1;
CS3204A1-2KITBK;29.39;0;
CS3204A1-2PT;61.25;123;
CS3204A1-2QT;83.94;37;
CS3204A2PT;61.25;11;
CS3204A2QT;83.94;0;
CS3204B1-2-2-5B;20.9;17;
CS3204B1-2KIT;24.61;1431;
CS3204B1-2KITBK;24.61;0;
CS3204B1-2PT;56.17;252;
CS3204B1-2QT;78.66;338;
CS3204B1-2QTBLK;78.66;0;
HT3326550;84.66;0;
CS3213B12;34.95;34;
CS3247B2;52.25;52;
CS3330A12PT;126.5;11;
CS3330B12KIT;40.39;110;
CS3330B12PT;99.8;41;
CS3330B12QT;140.19;6;
CS3330B2PT;99.8;0;
CS3600PT;108.69;0;
CS5306B12KIT;174.97;0;
FH6-20L;590.45;0;
GA001SP;35.64;427;
GN05-21;47.06;55;
GN148-21;36.61;34;
GN148-24;66.84;266;
GN15-21;30.09;138;
HT3000100;182.36;89;
L0034-094;21.13;56;
CS3204B1-4KIT;24.61;160;
EZTURN1LB;31.24;145;
F63BY6;798.49;1;
CS3204B2-3-5;27.06;1;
CS3204B2KIT;24.61;1414;
CS3204B2PT;56.17;788;
CS3204B2QT;78.66;0;
CS3204B2QTBLK;78.66;34;
CS5306B1-4-2-5;153.69;0;
DC111-14-10Z;55.53;0;
DC111-50Z;22.16;1787;
DC33LIGHT40LB;2720.75;0;
DC33LIGHT50Z;40.27;1003;
DC33LIGHT8LB;657.79;31;
DC33MED140Z;102.5;199;
DC4045299;33.98;254;
DC4045666;31.1;780;
DC4-30Z;37.02;805;
DC44LIGHT5-30Z;40.06;0;
DC55-5-30Z;34.45;858;
DC557-110Z;36.06;260;
GA001-0FRK;133.99;0;
GAMFL;133.99;29;
GN22-21;38.34;190;
GN22-24;1363.09;0;
GNGA47-24;89.64;165;
CS3204B4KIT;24.61;10;
DAPC02200250Z;153.38;147;
DAPC072-60Z;218.26;2;
DC106QT;181.6;0;
DC2301LB;154.13;44;
DC33MED50Z;40.91;462;
DC3400A;275.41;0;
DC3402C;122.7;0;
DC340-30Z;63.35;26;
DC340-50Z;53.58;404;
DC976-5-30Z;68.29;9;
DCM77-350Z;349.45;60;
DRILUBE822-30ML;1720.26;3;
E09028;384.84;10;
E09056;330.28;6;
E659-1LB;205.32;63;
EDM275T;6478.93;0;
EDM330T;7774.7;0;
EDMD;1295.77;0;
EDMP;147.25;0;
ELITE20W50QT;1.93;0;
ESNALUBE382PT;177.5;63;
EV811GL;582.39;0;
EVERLUBE810QT;211.44;4;
EVERLUBE811PT;0;0;
EVERLUBE811QT;203.85;0;
EVERLUBE9001;134.74;0;
EZTURN50Z;20.41;0;
F63TXA0515;174.1;0;
F63WY30;557.33;0;
F75KXB9958;21.44;46;
F75KXR12320;24.05;139;
F75KXS9754;24.13;0;
F93A2030;190.05;11;
FH3-55;6022.73;0;
FH6-55;6093.45;0;
GADUSS2V2202;9.04;80;
GN06-21;158.52;139;
GN07-21;38.44;82;
GN10-21;38.45;166;
GN17-21;48.45;147;
GN4343-21;133.22;211;
GN46-21;68.7;24;
GNPASTE;14.4;2346;
GNPASTEPT;62.51;262;
GP460-40Z;46.9;505;
GP460PT;59.07;761;
GPL206-1-1LB;413.9;6;
GPL206-20Z;75.24;18;
GPL206-80Z;255.46;140;
H99NY2;602.94;0;
HIT650QT;171.38;16;
JM3764;275.89;10;
JM3765-5ML;32.08;39;
KR0IL1GAL;127.61;33;
PR1422B1-2;76.73;2792;
L09003;333.61;22;
L09005;333.61;0;
L09008;333.61;63;
L09775;384.84;0;
L09995;333.61;28;
L0A101K;1.99;464;
L101;16.66;35;
L99307;384.84;0;
LC300QT;199.6;0;
LIQUIM0LYNVPT;83.99;109;
LUB0M0LYP0WDER;135.3;68;
LUBEL0K1000QT;243.24;6;
LUBEL0K2006QT;109.13;0;
LUBEL0K2109D;81.26;0;
LUBEL0K2396QT;245.39;0;
LUBEL0K4253QT;0;0;
LUBEL0K4396;189.72;0;
LUBEL0K4396QT;534.08;0;
LUBEL0K5306QT;76.3;9;
LUBT0RKPT;48.61;324;
M0BIL1SYNATF1QT;20.01;629;
M0LITH2;22.05;563;
M0LYK0TEDX;186.13;114;
M0S2-1190;117.49;7;
M0USEMILK320Z;26.1;130;
M0USEMILK80Z;8.85;459;
M77-80Z;179.19;0;
MASTIN0XD40;183.36;0;
MCS352BQT;315.54;134;
ML5EH330T;10071.76;0;
ML5EHD;1678.63;0;
ML5EHP;190.75;0;
ML5EHS;47.69;0;
MM13RQT;11.36;145;
MM85R;11.2;0;
MS143XDGL;1033.16;0;
N010J;3.64;0;
N030J;1.06;0;
N0VAGARDG635;36.83;158;
N0XRUSTVCI10PL;351.54;14;
NL11B1L;58.29;75;
NL3525-24;42.31;76;
NL64-20L;1728.19;0;
NL64-5L;368.98;0;
NL7870-24;182.59;0;
NP04-24;53.36;60;
NP06-24;57.25;21;
NS160-160Z;38.95;169;
NSBT8;24.31;83;
NYC065-24;60.64;48;
NYC065VASELINE-CN;58.36;0;
NYC0DIEL20;795.45;0;
NYC0GREASEGN25013CN;1810.72;0;
NYC0LUBE3525-20L;406.16;28;
P1022;102.8;0;
P37;112.46;107;
PC16-2008T;327.79;0;
PC16-9558;218.14;0;
PEC642DQT;93.25;28;
PEC642GL;263.75;2;
PEC642QT;167.43;14;
PEN382GL;887.52;0;
PEN382QT;310.65;23;
PERMASLIKG;42.16;362;
PERMASLIKGQT;103.15;0;
PEV620CDGL;218.5;0;
PEV620CDQT;76.47;0;
PEV620CGL;395.53;1;
PEV620CQT;118.67;0;
PEV620DQT;77.51;0;
PEV620GL;417;1;
PEV620QT;145.94;0;
PEV810DQT;90;0;
PEV9001GL;594.03;0;
PEV9001QT;207.91;189;
PEV9002GL;553.13;0;
PEV9002QT;177.14;21;
PEV967CQT;706.7;0;
PL32-40ZMED;43.51;414;
PLB220AE;36.86;771;
PLB220GL;272.95;0;
PLB220QT;95.54;103;
PLBAAE;33.74;0;
PLBAGL;229.03;0;
PLBAQT;80.16;36;
PLBHTQT;141.16;11;
PLL5396DQT;100.61;0;
PPS1460WQT;64.92;0;
PPSGQT;103.15;8;
PPSRMACGL;333.82;1;
PR1005LPT;183.28;94;
