"prodctCode","productPrice","stock","vendors"
"CCR264SS3-07",0.34,1,"wencor"
"CCR264SS3-10",1,2,"incorashop"
"CR3222-4-04",0,0,"klx"
"AGS2050-419BS",1.16,4249,"klx"
"CCR264CS3-2",0,0,"proponent"
"HL97-8",29.54,3876,"aviall"
"MS20426D4-6",1,99849,"incorashop"
"MS20426D5-12",1,199034,"incorashop"
"MS20426D5-7",1,61155,"incorashop"
"MS20426D5-8",1,40545,"incorashop"
"MS20426D6-8",0.07,2770,"klx"
"MS20427M5-6",1.24,35229,"proponent"
"MS20427M6-18",0.96,108,"klx"
"MS20470D4-8",1,43402,"incorashop"
"MS20470D5-7",1,57386,"incorashop"
"MS20615-5M8",70.27,0,"aviall"
"MS20615-6M8",0.71,1350,"klx"
"MS90353U0503",1.46,0,"proponent"
"NAS1097D4-8",0.03,10555,"klx"
"NAS1200-4-5",0.26,1442,"klx"
"NAS1738B4-2",2.31,0,"aviall"
"NAS1791C3-2",2.54,6,"wencor"
"NAS1791C3-3",3.44,14,"wencor"
"NAS1792C3-2",1,1688,"wencor"
"NAS1921B04S02",4.04,500,"aviall"
"NAS1921M04S06",3.4,0,"proponent"
"NAS1921M04S07",2.38,878,"klx"
"NAS1921M06S05",42,32,"klx"
"NAS1921M06S06AU",5.43,1927,"klx"
"NAS9307M-4-07",0,0,"klx"
"CCR264SS4-03",0,0,"klx"
"MS20426E5-8",0.58,25910,"proponent"
"CR3214-8-04",0,0,"klx"
"EN6081D4-06",1,4909,"incorashop"
"HL10VF5-2",2.27,529,"klx"
"HL113VF6-7",2.54,3956,"incorashop"
"HL11VF6-9",3.67,5416,"proponent"
"HL12VF6-2",1.14,9902,"incorashop"
"HL12VF6-7",2.5,135687,"incorashop"
"HL13VF6-3",1.73,4942,"incorashop"
"HL13VF6-5",4.21,5500,"proponent"
"HL13VF6-9",1.56,482,"incorashop"
"HL413VF6-4",25.76,1852,"aviall"
"HL413VF6-8",60.87,218,"aviall"
"NAS1921M04S02W",1.84,7105,"klx"
"NSA5472-3K7",1.33,4356,"klx"
"CCR264SS4-02",0,0,"klx"
"CR3222-5-07",0,0,"proponent"
"NAS1097DD6-8",1.06,20262,"proponent"
"NAS1792C3-1",1.5,13618,"wencor"
"NAS1921C05S04U",5.01,8900,"proponent"
"NAS1921M04S03AU",3.39,5150,"proponent"
"NAS1921M04S07W",3.61,0,"klx"
"ABS0254-5-100Z",13.28,88,"klx"
"ABS0254-5-250Z",6.73,14060,"klx"
"ABS0254-6-100Z",0,0,"klx"
"ABS0254-6-200Z",18.23,30,"klx"
"ABS0254-6-250Z",9,1663,"klx"
"ABS0546D405",0,0,"proponent"
"ASNA2027VBV3-9",0,0,"klx"
"CR2838-4-02",0,0,"klx"
"DAN7-10-13",24.04,25,"klx"
"DAN7-8-8",6.01,0,"proponent"
"EN6081AD5-06",0.86,59003,"proponent"
"EN6081D4-10",0,0,"proponent"
"EN6101AD4-13",0,0,"proponent"
"EN6101AD5-05",0,0,"proponent"
"EN6101D5-07",1,12289,"incorashop"
"EN6110-06-04",0,0,"klx"
"EN6114-6-12",5.64,0,"proponent"
"HL10VF5-12",0,0,"proponent"
"HL11VF5-3",2.19,8981,"proponent"
"HL11VF5-6",1.83,16,"wencor"
"HL11VF5-7",4.11,6122,"proponent"
"HL12VF5-5",1.81,1462,"wencor"
"HL12VF8-13",19.77,27,"klx"
"HL12VF8-7",7.25,811,"aviall"
"HL13VF5-3",1.94,327,"klx"
"HL13VF5-7",4.8,168,"klx"
"HL411VF6-2",0,0,"klx"
"HL413VF6-5",2.17,13480,"incorashop"
"HL413VF6-7",21.7,60,"klx"
"HST1397TF8",25,2483,"incorashop"
"HST97DUWU6",18.65,1784,"klx"
"MBF2110-08-250",36.33,19,"klx"
"MBF2110-08-450",12.36,540,"klx"
"MBF2110-08-500",18.62,974,"klx"
"MBF2110-08-650",22.91,43,"klx"
"MBF2122-5-250",18.03,2380,"wencor"
"MBF2122-5-450",25.72,2789,"incorashop"
"MS20426DD6-12",0,0,"proponent"
"MS20470DD6-8",0.1,0,"klx"
"NAS1921M06S04AU",0,0,"proponent"
"NAS1921M06S05AU",5.11,549,"klx"
"DAN7-5-8",0,0,"proponent"
"NSA5415-36-15",2.11,8159,"incorashop"
"NSA5472-6K7",6.64,497,"klx"
"NSA5414-36-12",1.2,0,"proponent"
"NSA5414-36-15",5.1,8800,"proponent"
"NAS9313KE4-10",0,0,"klx"
"NSA5415-36-12",1.09,367,"klx"
"NSA5415N24-10",0,0,"klx"
"NSA5415N32-10",0.48,612,"klx"
